date,variables,data
2022-10-10T02:30:00Z,temperature,26.45
2022-10-10T02:30:00Z,ph,8.01728698332844
2022-10-10T03:00:00Z,temperature,26.43
2022-10-10T03:00:00Z,ph,8.01844296009225
2022-10-10T03:30:00Z,temperature,26.4
2022-10-10T03:30:00Z,ph,8.0185449539793
2022-10-10T04:00:00Z,temperature,26.33
2022-10-10T04:00:00Z,ph,8.02123198245951
2022-10-10T04:30:00Z,temperature,26.35
2022-10-10T04:30:00Z,ph,8.01735454489093
2022-10-10T05:00:00Z,temperature,26.35
2022-10-10T05:00:00Z,ph,8.01544992286409
2022-10-10T05:30:00Z,temperature,26.38
2022-10-10T05:30:00Z,ph,8.01507616032007
2022-10-10T06:00:00Z,temperature,26.43
2022-10-10T06:00:00Z,ph,8.011642554976
2022-10-10T06:30:00Z,temperature,26.4
2022-10-10T06:30:00Z,ph,8.0120159112699
2022-10-10T07:00:00Z,temperature,26.38
2022-10-10T07:00:00Z,ph,8.01181142099639
2022-10-10T07:30:00Z,temperature,26.38
2022-10-10T07:30:00Z,ph,8.0120834826067
2022-10-10T08:00:00Z,temperature,26.4
2022-10-10T08:00:00Z,ph,8.01147182437745
2022-10-10T08:30:00Z,temperature,26.33
2022-10-10T08:30:00Z,ph,7.99919131293852
2022-10-10T09:00:00Z,temperature,26.38
2022-10-10T09:00:00Z,ph,8.01181142099639
2022-10-10T09:30:00Z,temperature,26.35
2022-10-10T09:30:00Z,ph,8.00184547981526
2022-10-10T10:00:00Z,temperature,26.38
2022-10-10T10:00:00Z,ph,8.01181142099639
2022-10-10T10:30:00Z,temperature,26.4
2022-10-10T10:30:00Z,ph,8.0131040850548
2022-10-10T11:00:00Z,temperature,26.4
2022-10-10T11:00:00Z,ph,8.01038365059255
2022-10-10T11:30:00Z,temperature,26.38
2022-10-10T11:30:00Z,ph,8.00364957268721
2022-10-10T12:00:00Z,temperature,26.38
2022-10-10T12:00:00Z,ph,8.00637018879027
2022-10-10T12:30:00Z,temperature,26.4
2022-10-10T12:30:00Z,ph,8.01392021539347
2022-10-10T13:00:00Z,temperature,26.38
2022-10-10T13:00:00Z,ph,8.0120834826067
2022-10-10T13:30:00Z,temperature,26.38
2022-10-10T13:30:00Z,ph,8.01072317455517
2022-10-10T14:00:00Z,temperature,26.33
2022-10-10T14:00:00Z,ph,8.01116402230795
2022-10-10T14:30:00Z,temperature,26.35
2022-10-10T14:30:00Z,ph,8.01164067881042
2022-10-10T15:00:00Z,temperature,26.33
2022-10-10T15:00:00Z,ph,8.01089191527682
2022-10-10T15:30:00Z,temperature,26.35
2022-10-10T15:30:00Z,ph,8.01055232336651
2022-10-10T16:00:00Z,temperature,26.35
2022-10-10T16:00:00Z,ph,8.0072872570348
2022-10-10T16:30:00Z,temperature,26.35
2022-10-10T16:30:00Z,ph,8.00891979020065
2022-10-10T17:00:00Z,temperature,26.43
2022-10-10T17:00:00Z,ph,8.01028247395275
2022-10-10T17:30:00Z,temperature,26.33
2022-10-10T17:30:00Z,ph,8.01007559418345
2022-10-10T18:00:00Z,temperature,26.3
2022-10-10T18:00:00Z,ph,8.00636690381182
2022-10-10T18:30:00Z,temperature,26.38
2022-10-10T18:30:00Z,ph,8.00854668167272
2022-10-10T19:00:00Z,temperature,26.4
2022-10-10T19:00:00Z,ph,8.00358256443693
2022-10-10T19:30:00Z,temperature,26.43
2022-10-10T19:30:00Z,ph,8.00538618226905
2022-10-10T20:00:00Z,temperature,26.38
2022-10-10T20:00:00Z,ph,8.01017905133456
2022-10-10T20:30:00Z,temperature,26.35
2022-10-10T20:30:00Z,ph,8.01164067881042
2022-10-10T21:00:00Z,temperature,26.43
2022-10-10T21:00:00Z,ph,8.00919440913415
2022-10-10T21:30:00Z,temperature,26.4
2022-10-10T21:30:00Z,ph,8.00385460788316
2022-10-10T22:00:00Z,temperature,26.4
2022-10-10T22:00:00Z,ph,8.00494278166806
2022-10-10T22:30:00Z,temperature,26.38
2022-10-10T22:30:00Z,ph,8.00582606556966
2022-10-10T23:00:00Z,temperature,26.38
